scope,city,property_type_group,n,q50_log,q80_log,q90_log,empirical_50_coverage,empirical_80_coverage,empirical_90_coverage,mae_revpar,rmse_revpar
global,,,2128,0.4051379883088963,0.8297047511498432,1.155985323367767,0.5009398496240601,0.8012218045112782,0.9013157894736842,35.3751435731973,53.09699164514554
city,asheville,,197,0.4325630381577268,0.8801500826191946,1.1506428993611726,0.5076142131979695,0.8121827411167513,0.9137055837563453,31.07616791437921,45.140281096904495
city,carolina_beach,,204,0.396828999815968,0.776932415206602,1.154616880957394,0.5098039215686274,0.8088235294117647,0.9117647058823528,46.1281181814361,62.431869363455455
city,charlotte,,207,0.3421216575506349,0.8430464987763182,1.190766716900029,0.5072463768115942,0.8115942028985508,0.9130434782608696,29.59314256106504,41.6977554320844
city,durham,,168,0.4015603228087903,0.8790482275386273,1.412832442948869,0.5119047619047619,0.8154761904761905,0.9166666666666666,29.569444515218574,45.6643916728782
city,gatlinburg,,224,0.4656132712507914,0.9469434939759802,1.2177828545427165,0.5089285714285714,0.8080357142857143,0.9107142857142856,53.26149151843232,77.29503306934147
city,myrtle_beach,,253,0.4151495803656102,0.901553308042466,1.228376182911493,0.5059288537549407,0.8102766798418972,0.9090909090909092,43.12751514264776,70.28720911149216
city,pigeon_forge,,221,0.3571906339316202,0.7118038557895696,0.910575279024444,0.5067873303167421,0.8099547511312217,0.9095022624434388,33.00973804236717,50.284989086199246
city,raleigh,,224,0.4026191077379284,0.863008008414277,1.2833083455763037,0.5089285714285714,0.8080357142857143,0.9107142857142856,28.511298728622965,38.15565559095159
city,williamsburg,,215,0.5567519344870395,1.1196325352834715,1.3198307552672466,0.5069767441860465,0.8093023255813954,0.9116279069767442,26.222661058573447,36.81020862032668
city,wilmington,,215,0.3712452655974543,0.6606319925393729,0.8942912318117346,0.5069767441860465,0.8093023255813954,0.9116279069767442,30.192216583880416,39.07219660883501
city_property,asheville,entire_place,180,0.4228248006440784,0.8499644470839263,1.1050774572892692,0.5111111111111111,0.8111111111111111,0.9111111111111112,32.30968230185368,46.70862821000067
city_property,carolina_beach,entire_place,201,0.4048143637305728,0.7853272454196176,1.154616880957394,0.5074626865671642,0.8109452736318408,0.9104477611940298,46.7384409355303,62.89262661395716
city_property,charlotte,entire_place,199,0.3385301291362568,0.8209357273516265,1.1851876399171015,0.507537688442211,0.8090452261306532,0.9095477386934674,30.03299628421388,42.31140783952996
city_property,durham,entire_place,157,0.3981867985661402,0.8790482275386273,1.3799161226917045,0.5095541401273885,0.8152866242038217,0.9171974522292994,30.026904422070277,46.525214165550445
city_property,gatlinburg,entire_place,222,0.4492594727686496,0.9469434939759802,1.2177828545427165,0.509009009009009,0.8108108108108109,0.90990990990991,53.3885257855628,77.54756479010801
city_property,myrtle_beach,entire_place,249,0.4151495803656102,0.8940058225544991,1.228376182911493,0.5060240963855421,0.8072289156626506,0.9076305220883534,43.379526945738405,70.65969532838946
city_property,pigeon_forge,entire_place,208,0.3621432145833037,0.7145745660308154,0.910575279024444,0.5096153846153846,0.8125,0.9134615384615384,34.37370867769072,51.684249865313646
city_property,raleigh,entire_place,203,0.3801998356442206,0.7631138252473839,1.144306103777069,0.5073891625615764,0.812807881773399,0.9113300492610836,29.33456320208116,39.31733641106736
city_property,williamsburg,entire_place,180,0.5414907502727302,1.0873896067124855,1.2515944481312666,0.5111111111111111,0.8111111111111111,0.9111111111111112,25.35921363620846,35.75708238357865
city_property,williamsburg,private_room,31,0.6375419289783437,1.2044275692495532,1.958735886611378,0.5483870967741935,0.8709677419354839,0.967741935483871,26.64851443183737,37.41483615743152
city_property,wilmington,entire_place,207,0.3712452655974543,0.6628973343107658,0.8942912318117346,0.5072463768115942,0.8115942028985508,0.9130434782608696,30.678914349831626,39.63170204445655
